Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,Thita,RF,Vmin,Vmax,Equation
Passenger Cars,Gasoline <0.8 l,PC Euro 5 - EC 715/2007,5,PM,1.444186914692040E-13,1.161773796979940E-10,-3.370417933225510E-08,3.114143374502000E-06,-1.252930287198360E-04,3.298301227656900E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 5 - EC 715/2007,5,PM,1.444186914692040E-13,1.161773796979940E-10,-3.370417933225510E-08,3.114143374502000E-06,-1.252930287198360E-04,3.298301227656900E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,PM,1.444186914692040E-13,1.161773796979940E-10,-3.370417933225510E-08,3.114143374502000E-06,-1.252930287198360E-04,3.298301227656900E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 5 - EC 715/2007,5,PM,1.444186914692040E-13,1.161773796979940E-10,-3.370417933225510E-08,3.114143374502000E-06,-1.252930287198360E-04,3.298301227656900E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6,PM,2.313270713417980E-13,1.256930874825870E-11,-1.100332556347160E-08,1.234695396553060E-06,-6.287054003580730E-05,2.721908908843760E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6,PM,2.313270713417980E-13,1.256930874825870E-11,-1.100332556347160E-08,1.234695396553060E-06,-6.287054003580730E-05,2.721908908843760E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,PM,2.313270713417980E-13,1.256930874825870E-11,-1.100332556347160E-08,1.234695396553060E-06,-6.287054003580730E-05,2.721908908843760E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6,PM,2.313270713417980E-13,1.256930874825870E-11,-1.100332556347160E-08,1.234695396553060E-06,-6.287054003580730E-05,2.721908908843760E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6c,PM,2.649868017197330E-13,-4.068513833779710E-11,1.550609773982010E-09,1.426961639126630E-07,-2.504186523402750E-05,2.454451667443230E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6c,PM,2.649868017197330E-13,-4.068513833779710E-11,1.550609773982010E-09,1.426961639126630E-07,-2.504186523402750E-05,2.454451667443230E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
